Feature,Importance
remainder__area,0.4477225253732345
remainder__total_rooms,0.13373220498396704
remainder__bathrooms,0.08657770212992083
cat__airconditioning_yes,0.07349174508223395
remainder__parking,0.04320679232180071
remainder__stories,0.041245850000670804
cat__furnishingstatus_unfurnished,0.02906269252964912
cat__airconditioning_no,0.019040955276818226
remainder__bedrooms,0.01761953658160649
cat__prefarea_no,0.01589046866153391
cat__basement_no,0.014039527717112622
cat__prefarea_yes,0.013291858713440375
remainder__property_age,0.011526849934979292
remainder__year_built,0.009296560417473525
cat__mainroad_no,0.008681586054296406
cat__basement_yes,0.008178524306910656
cat__hotwaterheating_yes,0.006384630975297719
cat__hotwaterheating_no,0.00594251988221614
cat__guestroom_no,0.005682555521064952
cat__mainroad_yes,0.0047699110924602755
cat__guestroom_yes,0.004567333789652635
cat__furnishingstatus_furnished,4.201035975670904e-05
cat__furnishingstatus_semi-furnished,5.658293902968655e-06
